Date, Thread, Level, Logger, Message
2024-05-30T13:31:15.831, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/help/?ref=pf Status code: 200"
2024-05-30T13:31:16.077, [ForkJoinPool-1-worker-1], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://kn-in.facebook.com/help/637205020878504 Status code: 200"
2024-05-30T13:31:16.183, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/help/637205020878504 Status code: 200"
2024-05-30T13:31:16.776, [ForkJoinPool-1-worker-1], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://kn-in.facebook.com/settings Status code: 200"
2024-05-30T13:31:16.883, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/settings Status code: 200"
2024-05-30T13:31:17.281, [ForkJoinPool-1-worker-1], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://kn-in.facebook.com/allactivity?privacy_source=activity_log_top_menu Status code: 200"
2024-05-30T13:31:17.608, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/allactivity?privacy_source=activity_log_top_menu Status code: 200"
2024-05-30T13:31:18.182, [ForkJoinPool-1-worker-1], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://te-in.facebook.com/# Status code: 200"
2024-05-30T13:31:18.364, [ForkJoinPool-1-worker-10], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://te-in.facebook.com/reg/ Status code: 200"
2024-05-30T13:31:18.499, [ForkJoinPool-1-worker-3], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ml-in.facebook.com/# Status code: 200"
2024-05-30T13:31:18.701, [ForkJoinPool-1-worker-1], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://te-in.facebook.com/lite/ Status code: 200"
2024-05-30T13:31:18.775, [ForkJoinPool-1-worker-10], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://te-in.facebook.com/watch/ Status code: 200"
2024-05-30T13:31:18.917, [SpringApplicationShutdownHook], INFO , o.s.m.s.b.SimpleBrokerMessageHandler, "Stopping..."
2024-05-30T13:31:18.918, [SpringApplicationShutdownHook], INFO , o.s.m.s.b.SimpleBrokerMessageHandler, "BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@4e514e]]"
2024-05-30T13:31:18.918, [SpringApplicationShutdownHook], INFO , o.s.m.s.b.SimpleBrokerMessageHandler, "Stopped."
2024-05-30T13:31:19.013, [ForkJoinPool-1-worker-3], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ml-in.facebook.com/reg/ Status code: 200"
2024-05-30T13:31:19.074, [ForkJoinPool-1-worker-12], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/sideload/lite/download/?cs&uf&es&sc=rg&campaign_id=0&referrer_params%5Butm_campaign%5D=fblite_sideload_logged_out&referrer_params%5Butm_source%5D=organic_sideload_desktop&referrer_params%5Bis_desktop%5D=1 Status code: 200"
2024-05-30T13:31:19.160, [ForkJoinPool-1-worker-1], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://te-in.facebook.com/places/ Status code: 200"
