Date, Thread, Level, Logger, Message
2024-05-30T13:28:06.712, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://developers.facebook.com/?ref=pf Status code: 200"
2024-05-30T13:28:08.794, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/careers/?ref=pf Status code: 200"
2024-05-30T13:28:09.419, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/policies/cookies/ Status code: 200"
2024-05-30T13:28:09.851, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://www.facebook.com/help/568137493302217 Status code: 200"
2024-05-30T13:28:10.523, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/policies?ref=pf Status code: 200"
2024-05-30T13:28:10.890, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/help/?ref=pf Status code: 200"
2024-05-30T13:28:11.536, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/help/637205020878504 Status code: 200"
2024-05-30T13:28:12.184, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/settings Status code: 200"
2024-05-30T13:28:12.608, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://bn-in.facebook.com/allactivity?privacy_source=activity_log_top_menu Status code: 200"
2024-05-30T13:28:13.112, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/# Status code: 200"
2024-05-30T13:28:13.528, [ForkJoinPool-1-worker-6], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/lite/ Status code: 200"
2024-05-30T13:28:13.640, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/reg/ Status code: 200"
2024-05-30T13:28:14.188, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/lite/ Status code: 200"
2024-05-30T13:28:14.577, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/watch/ Status code: 200"
2024-05-30T13:28:15.177, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/places/ Status code: 200"
2024-05-30T13:28:15.873, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/games/ Status code: 200"
2024-05-30T13:28:16.306, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/marketplace/ Status code: 200"
2024-05-30T13:28:16.719, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.instagram.com%2F&h=AT0VkU5UyCezA07RT3o89k7-4X7ZYCkofruEsQDFVrje8zXSp_21MfydNrBbaCk6sx7paSj6zaSEaQ5bAvJweJYO35rLuxOt3TWnGhlEtEIGJ94QGQ6bhUcWha4wkXBQUnHl472h-hZBsnj1 Status code: 200"
2024-05-30T13:28:17.663, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/fundraisers/ Status code: 200"
2024-05-30T13:28:18.517, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/biz/directory/ Status code: 200"
2024-05-30T13:28:18.986, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/votinginformationcenter/?entry_point=c2l0ZQ%3D%3D Status code: 200"
2024-05-30T13:28:19.468, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/groups/discover/ Status code: 200"
2024-05-30T13:28:20.951, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/ad_campaign/landing.php?placement=pflo&campaign_id=402047449186&nav_source=unknown&extra_1=auto Status code: 200"
2024-05-30T13:28:22.317, [MessageBroker-1], INFO , o.s.w.s.c.WebSocketMessageBrokerStats, "WebSocketSession[0 current WS(0)-HttpStream(0)-HttpPoll(0), 0 total, 0 closed abnormally (0 connect failure, 0 send limit, 0 transport error)], stompSubProtocol[processed CONNECT(0)-CONNECTED(0)-DISCONNECT(0)], stompBrokerRelay[null], inboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], outboundChannel[pool size = 0, active threads = 0, queued tasks = 0, completed tasks = 0], sockJsScheduler[pool size = 1, active threads = 1, queued tasks = 0, completed tasks = 0]"
2024-05-30T13:28:22.934, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/careers/?ref=pf Status code: 200"
2024-05-30T13:28:23.693, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/policies/cookies/ Status code: 200"
2024-05-30T13:28:24.438, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/policies?ref=pf Status code: 200"
2024-05-30T13:28:24.829, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/help/?ref=pf Status code: 200"
2024-05-30T13:28:25.263, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/help/637205020878504 Status code: 200"
2024-05-30T13:28:26.022, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/settings Status code: 200"
2024-05-30T13:28:26.491, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ur-pk.facebook.com/allactivity?privacy_source=activity_log_top_menu Status code: 200"
2024-05-30T13:28:26.763, [SpringApplicationShutdownHook], INFO , o.s.m.s.b.SimpleBrokerMessageHandler, "Stopping..."
2024-05-30T13:28:26.764, [SpringApplicationShutdownHook], INFO , o.s.m.s.b.SimpleBrokerMessageHandler, "BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@6f2e997e]]"
2024-05-30T13:28:26.764, [SpringApplicationShutdownHook], INFO , o.s.m.s.b.SimpleBrokerMessageHandler, "Stopped."
2024-05-30T13:28:26.876, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://ta-in.facebook.com/# Status code: 200"
2024-05-30T13:28:27.046, [ForkJoinPool-1-worker-3], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://www.facebook.com/watch/ Status code: 200"
