Date, Thread, Level, Logger, Message
2024-05-30T13:23:41.465, [ForkJoinPool-1-worker-10], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://te-in.facebook.com/watch/ Status code: 200"
2024-05-30T13:23:41.849, [ForkJoinPool-1-worker-1], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/fundraisers/explore/ Status code: 200"
2024-05-30T13:23:41.881, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://en-gb.facebook.com/watch/ Status code: 200"
2024-05-30T13:23:41.944, [ForkJoinPool-1-worker-10], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://te-in.facebook.com/places/ Status code: 200"
2024-05-30T13:23:42.285, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://en-gb.facebook.com/places/ Status code: 200"
2024-05-30T13:23:42.465, [ForkJoinPool-1-worker-2], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/fundraisers/about/ Status code: 200"
2024-05-30T13:23:42.559, [ForkJoinPool-1-worker-10], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://te-in.facebook.com/games/ Status code: 200"
2024-05-30T13:23:42.789, [ForkJoinPool-1-worker-1], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/fundraisers/explore/international/?source=fundraiser_hub_about_tab Status code: 200"
2024-05-30T13:23:42.921, [ForkJoinPool-1-worker-10], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://te-in.facebook.com/marketplace/ Status code: 200"
2024-05-30T13:23:42.976, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://en-gb.facebook.com/games/ Status code: 200"
2024-05-30T13:23:43.286, [ForkJoinPool-1-worker-10], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.instagram.com%2F&h=AT00-SCNB0u35DbrI0Jap_rHr9V8yIy73T8LT7oCNDuuogkiGhrzGEb0fdmNXoF_l22e2_m22MORDuVN9PizmKsFwJlG8X5z0opENdsPNfbSXP25w3QQjjrliPxfnP2uj4Y6yiSaxqTDySBg Status code: 200"
2024-05-30T13:23:43.363, [ForkJoinPool-1-worker-2], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/fundraisers/explore/arts-and-culture/?source=fundraiser_hub_about_tab Status code: 200"
2024-05-30T13:23:43.443, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://en-gb.facebook.com/marketplace/ Status code: 200"
2024-05-30T13:23:43.502, [SpringApplicationShutdownHook], INFO , o.s.m.s.b.SimpleBrokerMessageHandler, "Stopping..."
2024-05-30T13:23:43.502, [SpringApplicationShutdownHook], INFO , o.s.m.s.b.SimpleBrokerMessageHandler, "BrokerAvailabilityEvent[available=false, SimpleBrokerMessageHandler [org.springframework.messaging.simp.broker.DefaultSubscriptionRegistry@5d257b0c]]"
2024-05-30T13:23:43.503, [SpringApplicationShutdownHook], INFO , o.s.m.s.b.SimpleBrokerMessageHandler, "Stopped."
2024-05-30T13:23:43.696, [ForkJoinPool-1-worker-1], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/fundraisers/explore/faith/?source=fundraiser_hub_about_tab Status code: 200"
2024-05-30T13:23:43.814, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.instagram.com%2F&h=AT3ph_LErhJzKIaMCLvhq8p5c_XqzNqxJMg8r3BBZXjGKERRXp4OK4SC4Q9pSN4ZNh000GKdQJMH7SjvMRn7pUSp18xFrSp6ltFu6-KTeAghlWfoJGftcq_0qJtXVCaaEJ9Ji26G-D49Nw-r Status code: 200"
2024-05-30T13:23:44.364, [ForkJoinPool-1-worker-10], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://te-in.facebook.com/fundraisers/ Status code: 200"
2024-05-30T13:23:44.373, [ForkJoinPool-1-worker-2], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/fundraisers/explore/environment/?source=fundraiser_hub_about_tab Status code: 200"
2024-05-30T13:23:44.636, [ForkJoinPool-1-worker-1], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: http://facebook.com/fundraisers/explore/animals/?source=fundraiser_hub_about_tab Status code: 200"
2024-05-30T13:23:45.004, [ForkJoinPool-1-worker-13], INFO , c.r.a.s.BrokenLinkDetectionService, "Valid link: https://en-gb.facebook.com/fundraisers/ Status code: 200"
